Page,Section,Description,Filename,Uploader,Date
39,SID CONTEMPORARY POP (Pre-50's),1930's/5 song medley,1930.mus,Daspf,09/23/86
39,SID CONTEMPORARY POP (Pre-50's),Ain'tWeGotFun/Music,funmusic.mus,Daspf,10/14/86
39,SID CONTEMPORARY POP (Pre-50's),Beat Me Daddy/8 2 the Bar,beat/daddy.mus,Lyric,01/10/87
39,SID CONTEMPORARY POP (Pre-50's),Boogie Woogie Bugle Boy,boogiebugle.mus,Daspf,11/27/86
39,SID CONTEMPORARY POP (Pre-50's),Bumble Boogie,bumble.mus,SYSOP JON,01/07/87
39,SID CONTEMPORARY POP (Pre-50's),CowCow Boogie * Lyric,cow boogie.mus,Bobbye,01/28/87
39,SID CONTEMPORARY POP (Pre-50's),Eye Opener-Bob Zurke,eye opener.mus,John r,01/13/87
39,SID CONTEMPORARY POP (Pre-50's),Good Old Summer/Charlesto,sumchas.mus,Daspf,10/27/86
39,SID CONTEMPORARY POP (Pre-50's),Mississippi Mud,miss/mud.mus,Lyric Note,02/17/87
39,SID CONTEMPORARY POP (Pre-50's),Moonlight Serenade-G.MIII,moonlight.mus,Lyric,01/16/87
39,SID CONTEMPORARY POP (Pre-50's),"Oh Johnny,Oh Johhy,Oh!",oh johnny.mus,Bobbye,02/08/87
39,SID CONTEMPORARY POP (Pre-50's),On The Sunny Side/Street,sunny/street.mus,DaleC1,10/08/86
39,SID CONTEMPORARY POP (Pre-50's),Satin Doll,satin doll.mus,DiskDrivr,02/22/87
39,SID CONTEMPORARY POP (Pre-50's),Serenade In Blue,sere/blue.mus,Lyric,01/16/87
39,SID CONTEMPORARY POP (Pre-50's),SophisticatdLady-EIIingtn,sophis-lady.mus,Dan24,03/09/87
39,SID CONTEMPORARY POP (Pre-50's),Sophisticated Lady,slady.mus,Fwp,02/24/87
39,SID CONTEMPORARY POP (Pre-50's),Stompin - Goodman,stompin.mus,Fwp,02/14/87
39,SID CONTEMPORARY POP (Pre-50's),Why Don't you do it Right,do right.mus,Bobbye,02/08/87
39,SID CONTEMPORARY POP (50's-60's),25 or 6 to 4-Chicago,25or6to4.mus,Kupkake,02/18/87
39,SID CONTEMPORARY POP (50's-60's),All My Lovin-Beatles,all my lovin.mus,Dr J5,01/06/87
39,SID CONTEMPORARY POP (50's-60's),Alley Cat,alleycat1.mus,Daspf,11/15/86
