Page,Section,Description,Filename,Uploader,Date
159,POP Pre 50's - 60's (Music Pre 50's),1930's/5 song medley,1930.mus,Daspf,09/23/86
159,POP Pre 50's - 60's (Music Pre 50's),A Black Smoke *,black smoke.mus,QuakerOtis,10/20/88
159,POP Pre 50's - 60's (Music Pre 50's),"Ah, May the Red Rose",red rose.mus,Harryf2,01/11/89
159,POP Pre 50's - 60's (Music Pre 50's),Ain'tWeGotFun/Music,funmusic.mus,Daspf,10/14/86
159,POP Pre 50's - 60's (Music Pre 50's),Alaxanders Ragtime Band *,alexander.mus,Tx general,03/30/90
159,POP Pre 50's - 60's (Music Pre 50's),All I Have/Dream-Everlys,dream.mus,TomB24,08/27/87
159,POP Pre 50's - 60's (Music Pre 50's),All of Me,all of me.mus,Bobbie0426,09/10/87
159,POP Pre 50's - 60's (Music Pre 50's),April Showers,apr showers.mus,Spiecher,05/17/87
159,POP Pre 50's - 60's (Music Pre 50's),Are You Lonesome Tonight*,are you lo.mus,Ken LO,06/24/89
159,POP Pre 50's - 60's (Music Pre 50's),Arrivederci,arrivederci.mus,Diz Cop,04/22/87
159,POP Pre 50's - 60's (Music Pre 50's),Baby Face *,baby face.mus,Tx general,12/29/88
159,POP Pre 50's - 60's (Music Pre 50's),Ballin' The Jack,ballin jack.mus,Tx general,03/30/90
159,POP Pre 50's - 60's (Music Pre 50's),Beat Me Daddy/8 2 the Bar,beat/daddy.mus,Lyric,01/10/87
159,POP Pre 50's - 60's (Music Pre 50's),Begin The Beguine-Porter,begn/beguine.mus,DalFau,11/17/88
159,POP Pre 50's - 60's (Music Pre 50's),Bicycle Built For Two *,bicycle/two.mus,KenTones,09/20/88
159,POP Pre 50's - 60's (Music Pre 50's),Bill Bailey,bill bailey.mus,Music man3,08/27/89
159,POP Pre 50's - 60's (Music Pre 50's),Bluette Polka,bluete/polka.mus,Poob,12/04/87
159,POP Pre 50's - 60's (Music Pre 50's),Boogie Woogie Bugle Boy,boogiebugle.mus,Daspf,11/27/86
159,POP Pre 50's - 60's (Music Pre 50's),Bumble Boogie,bumble.mus,SYSOP JON,01/07/87
159,POP Pre 50's - 60's (Music Pre 50's),Bumbleboogie,bumleboogie.mus,Bill H21,06/25/87
159,POP Pre 50's - 60's (Music Pre 50's),Cachita - Rhumba,cachita-rmba.mus,ErnestT1,07/04/89
159,POP Pre 50's - 60's (Music Pre 50's),Cake Walk-Hans Line,cake walk.mus,Lyric,07/12/87
159,POP Pre 50's - 60's (Music Pre 50's),Champagne Rag *,champagne.mus,SylviaL,07/01/88
159,POP Pre 50's - 60's (Music Pre 50's),Charleston,charleston.mus,FRIARtuck,10/08/87
159,POP Pre 50's - 60's (Music Pre 50's),Chattanooga Choo Choo *,chat/chochoo.mus,Stique,04/19/90
159,POP Pre 50's - 60's (Music Pre 50's),Cherry Pie,cherry pie.mus,TomB24,11/30/87
159,POP Pre 50's - 60's (Music Pre 50's),Clap Your Hands,clap hands.mus,Lyric,05/24/87
159,POP Pre 50's - 60's (Music Pre 50's),Come Live With Me,comelivewith.mus,TomB24,11/30/87
159,POP Pre 50's - 60's (Music Pre 50's),CowCow Boogie * Lyric,cow boogie.mus,Bobbye,01/28/87
159,POP Pre 50's - 60's (Music Pre 50's),Cry Me A River,cry/river.mus,Lyric,07/12/87
159,POP Pre 50's - 60's (Music Pre 50's),Cute Count Basie,cute.mus,Tx general,03/30/90
159,POP Pre 50's - 60's (Music Pre 50's),Dallas Blues,dallas blues.mus,Lyric,04/12/87
159,POP Pre 50's - 60's (Music Pre 50's),Delicado E,/delicado.mus,ErnestT1,03/31/90
159,POP Pre 50's - 60's (Music Pre 50's),Deuces Wild,deuces wild.mus,Collecting,04/09/87
